Incident Name,Claim Type,Claim Number,PDF Link,Determination Date,Responsible Party,Amount of Oil Released,Trustees,Number of Trustees,Description of the Event,Description of Injury Determination and Quantification,Biological Effects,Amount of Money Owed by the RP from this claim,Notes
Trinity Bay Oil Spill,Assessment,T07001-TX02,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/Trinity_Determination_Marked_Redactions_Redacted.pdf?ver=IAASs6dChvWgamL9fZ9yHQ%3d%3d,2023/03/29,Unknown,"3,150 gallons","Texas General Land Office (TGLO),Texas Parks and Wildlife Department (TPWD),Texas Commission on Environmental Quality (TCEQ)",3,"A broken pipeline released an estimated 3,150 gallons of crude oil, condensate, and gas into Trinity Bay, forming a one- by two-mile slick in open water on or about October 11, 1999.","The Trustees relied solely on the Spill Impact Model Analysis Package (SIMAP) to both determine the resources impacted by the incident and the associated injuries. The SIMAP model used by the Trustees quantified the direct injuries to natural resources as: 27 birds killed, 748 kg of fish and demersal invertebrates killed, 851 kg of intertidal invertebrates lost, and 166 m2 of intertidal saltmarsh vegetation destroyed.","~7.7 km of intertidal shoreline sufficiently oiled to kill animals and/or plants, 27 total birds killed, and 748 kg of fish and demersal invertebrates killed.",$0,
Highland Bayou Oil Spill,Assessment,N05019-TX02,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/Highland_Bayou_Redacted.pdf?ver=X9frqR4QS2B572fDqN3EDw%3d%3d,2023/03/29,None Identified,"9,460 gallons","Texas General Land Office (TGLO),Texas Parks and Wildlife Department (TPWD),Texas Commission on Environmental Quality (TCEQ)",3,"On December 18, 2004, an abandoned, corroded tank battery discharged approximately 9,460 gallons of crude oil into the Highland Bayou and the surrounding marsh in Hitchcock, Galveston County, Texas.","The Trustees used the Spill Impact Model Analysis Package (SIMAP) to both determine the resources impacted by the incident and the associated injuries. Losses are estimated by species or species group for wildlife, fish, and invertebrates by multiplying percent loss by species density. The SIMAP Fates Model simulates the distribution of oil in space and time; and the SIMAP Biological Effects Model calculates the area, volume, or portion of a stock or population affected by a surface oil, concentrations of oil components in the water, and sediment contamination.","The SIMAP model used by the Trustees quantified the injury as approximately: 33 waterfowl, 1 seabird, 3 wading birds, and 0.1 shorebirds injured, for a total of 36 birds. Fishing group estimates of biomass are as follows: small pelagic fish were approximated to have 152kg killed and 60kg production foregone for a total estimate of 211kg; large pelagic fish 9kg killed and 81kg production foregone for a total of 90kg; total demersal fish 207kg killed and 540kg production foregone for a total of 747kg; demersal invertebrates 7kg killed and 2 kg production foregone for a total of 9kg, and no mollusks killed. In total the Trustees estimated 374kg of biomass were killed and 683kg were lost to foregone production, for a total of 1,058kg of compensable biomass. Additionally, the Trustees estimated there were 4,782 kg wet weight of vegetation and invertebrates lost due to oiling of 1.16 acres of wetland and shoreline habitats.",,
Oregon/Washington Coast Mystery Spill,Assessment,S99028-OI01,https://www.uscg.mil/Portals/0/NPFC/Claims/NRD/S99028-OI01_OR-WA_Mystery_Spill_NRDA_Assessment_Determination_Redacted.pdf?ver=2020-08-14-111250-870&timestamp=1597417988640,2020/05/08,None Identified,Unknown,"Department of the Interior (DOI), along with the State of Washington",2,"In March 1999, reports were received of tar balls and oiled birds washing ashore on the beaches of northern Oregon and southern Washington. The source of the spill was never identified.","The Trustees developed a Beached Bird Model (BBM), conducted two field studies, and developed an oil spill trajectory model to estimate the total bird mortality. The BBM is an established model used to estimate spill-induced mortality as a function of carcass recovery, considering natural mortality, birds lost at sea, carcass removal from scavengers, searcher effort and efficiency, unsearched areas, birds removed or buried by tides/ waves, and injured birds healthy enough to leave the shoreline prior to expiration.","Direct loss, or acute mortality, of migratory birds","$445,604.41",
M/V Selendang Ayu,Assessment,J05003-RP04,https://www.uscg.mil/Portals/0/NPFC/Claims/2022/Selendang%20Initial%20Determination%20Redacted.pdf?ver=ynk7DiU_riMIuIyrP03aSw%3d%3d,2022/04/08,"Ayu Navigation Sdn Bhd, and IMC Shipping Co. Pte. LTD.","Approximately 339,538 gallons of Intermediate Fuel Oil 380 and 14,680 gallons of marine diesel","The Department of the Interior, Fish and Wildlife Service (FWS), the Department of Commerce, National Oceanic and Atmospheric Administration (NOAA), along with the State of Alaska","Not explicitly stated, but includes FWS, NOAA, and the State of Alaska","The M/V Selendang Ayu ran aground off the shore of Unalaska, Alaska on December 8, 2004, rupturing the vessel’s bottom fuel tanks and releasing oil into the environment.","The Trustees initiated an assessment of natural resource damages (NRDA) resulting from the discharge and response to the discharge of oil, assessing injuries to various resources including birds, intertidal habitats, and anadromous streams. The Beached Bird Model (BBM) was used for quantifying bird injuries.","Injuries to birds from direct oiling, impacts to intertidal, subtidal, and anadromous stream habitats, and chronic exposure of oil on harlequin ducks.","$4,173,571.35 was denied from the claim request, indicating that the RP may be responsible for that amount.",
M/V Selendang Ayu,Assessment,J05003-RP04,https://www.uscg.mil/Portals/0/NPFC/Claims/2022/Selendang%20Recon%20Determination%20Redacted.pdf?ver=XRvPGnCBJxZrn4k9uV3e8w%3d%3d,2022/10/05,"Ayu Navigation Sdn Bhd, and IMC Shipping Co. Pte. LTD",Not specified in provided text.,"Not specified in provided text, but refers to Federal officials designated by the President",Not specified in provided text.,M/V Selendang Ayu Oil Spill Assessment Costs,"Includes studies on seabird mortality, lingering oil, and auklet habitat, using methods like the Beached Bird Model (BBM) and vegetation manipulation experiments.","Injuries to seabirds (specifically harlequin ducks and auklets) and other marine resources, assessed through studies of PAH exposure, paralytic shellfish poisoning (PSP), and habitat impacts.","$4,173,571.35 (Denied Amount)",
Equinox,Assessment,088272-OC1,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/088272-OC1%20NR%20Paid_Redacted.pdf,2011/06/08,BP Exploration & Production Inc. (BP),approximately 3.19 million barrels of oil,"U.S. Department of the Interior,National Oceanic and Atmospheric Administration,U.S. Environmental Protection Agency,U.S. Department of Agriculture,State of Louisiana,State of Mississippi,State of Alabama,State of Florida,State of Texas",9,"The Deepwater Horizon (DWH) oil spill began on April 20, 2010, following an explosion on the mobile offshore drilling unit Deepwater Horizon, which was located in the Gulf of Mexico approximately 48 miles off the coast of Louisiana. The explosion caused an uncontrolled release of oil from the Macondo well (Well) that continued for 87 days.","Trustees conducted extensive sampling and monitoring to document injuries to a broad range of natural resources. Injury assessment studies confirmed that the DWH oil spill injured natural resources across a large geographic area in the Gulf of Mexico. These injuries occurred through both direct exposure to oil as well as through Trustees documented a wide array of injuries including impacts to: marine mammals; sea turtles; birds; fish; oysters, benthic communities and submerged aquatic vegetation; terrestrial resources; and water column resources.",Observed biological effects included: mortality; reduced growth rates; impaired reproduction; compromised immune function; and increased susceptibility to disease.,Not specified in the text.,
Enbridge,Assessment,E10527-OI02,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/E10527-OI02%20NR%20Paid_Redacted.pdf,2013/04/03,"Enbridge Energy, Limited Partnership (Enbridge)","Over 840,000 gallons","Department of the Interior (DOI), National Oceanic Atmospheric Administration (NOAA), State of Michigan, and tribal representatives (Nottawaseppi Huron Band of the Potawatomi and Match-E-Be-Nash-She-Wish Band of the Pottawatomi)",4,"On or about July 26, 2010, a 30-inch diameter pipeline owned by Enbridge Energy, Limited Partnership (Enbridge) ruptured near Marshall, Michigan, discharging over 840,000 gallons of crude oil into a wetland adjacent to Talmadge Creek, which drains into the Kalamazoo River.","DOI plans to use a travel cost model to determine the value of lost and diminished value recreational trips resulting from the spill.  The model will use site-specific data that DOI will collect from telephone and on-site surveys to calculate the: (1) number and type of lost recreational trips to Talmadge Creek and the Kalamazoo River (pre-spill minus post spill), and (2) changes in value of a trip to these areas.  DOI will then determine the total damages for loss of recreational uses as the number of lost and diminished trips times the change in value of those trips.  The total dollars of lost and diminished trips (i.e., the natural resource damage) will then be scaled to the cost of appropriate restoration actions using the value-to-cost scaling approach","Impact to Talmadge Creek and the Kalamazoo River which led to closure of the river and prohibition of water-based recreation activities including fishing, boating, swimming, and boat-based hunting and trapping.","$636,479",
Enbridge,Assessment,E10527-OI03,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/E10527-OI03%20NR%20Paid.pdf.pdf,2013/04/16,"Enbridge Energy, Limited Partnership (Enbridge)","Over 840,000 gallons","DOI (Department of the Interior), NOAA (National Oceanic Atmospheric Administration), state of Michigan, and tribal representatives (Nottawaseppi Huron Band of the Potawatomi and Match-E-Be-Nash-She-Wish Band of the Pottawatomi)",4,"On or about July 26, 2010, a 30-inch diameter pipeline owned by Enbridge Energy, Limited Partnership (Enbridge) ruptured near Marshall, Michigan, discharging over 840,000 gallons of crude oil into Talmadge Creek, which flows into the Kalmazoo River.  Approximately 40 creek and river miles were exposed to oil, with high water levels carrying oil beyond the river banks and into adjacent floodplains.","The trustees initiated restoration planning under OPA to assess and restore damages resulting from this incident, developing a Vegetation Assessment Survey Work Plan focused on assessing plant communities that were adversely affected by oiling and response activities. Four methods will be employed at specific impact and reference sites: (1) direct measurements of percent plant cover, stem height, and stem density; (2) visual assessment of wetlands function based on hydrologic conditions, presence of invasive species, and habitat and soil alterations (using Michigan Rapid Assessment Method (MiRAD)); (3) visual assessment of native plants to assess plant diversity (using modified Floristic Quality Assessment (FQA) procedures); and (4) visual assessment of the presence of invasive species (using the protocols developed for the initial 2010 assessment), as a means of identifying potential sites for compensatory restoration. This information will then be used in a Habitat Equivalency Analysis (HEA) model to quantify injury and determine the amount of restoration necessary to compensate for the loss of habitat and habitat services due to the spill.","Exposure to oil and impacts of response actions have the potential to reduce ecological services that vegetative communities provide (e.g., habitat for birds and mammals), decrease biodiversity (e.g., number of different plant species found in the impacted area), and/or increase the risk of colonization by non-native plants.","$167,067",
Deepwater Horizon,Assessment,N10036-Al20,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-AL20%20NR%20Denied_Redacted.pdf,2014/05/23,Not specified in the provided text,Not specified in the provided text,Not specified in the provided text,Not specified in the provided text,Not specified in the provided text,Not specified in the provided text,Not specified in the provided text,Not specified in the provided text,
Deepwater Horizon,Assessment,N10036-OI02,https://www.uscg.mil/Portals/0/npfc/Claims/NRD/N10036-OI02%20NR_Redacted.pdf,2011/09/21,BP Exploration & Production Inc. (BP),approximately 3.19 million barrels of oil,"U.S. Department of the Interior,National Oceanic and Atmospheric Administration,U.S. Department of Agriculture,the States of Alabama,Florida,Louisiana,Mississippi,Texas",8,the Deepwater Horizon (DWH) oil spill,"Trustees assessed and quantified injuries to natural resources, including both biological and recreational resources, using a variety of assessment methods.",injuries to a wide range of natural resources and ecological services,not specified in document,
